venue_id,name,city,state,country,zip,address,capacity,surface,roof_type,lat,lng
249112d0-3965-4f2f-a110-2e137de9f1e5,The Reservation,Gaffney,SC,USA,29340,132 Administrative Drive,8250,turf,outdoor,35.0681,-81.6389
e223e39b-3b21-4c7a-9b37-b00c2dac9a1e,Florida Tech Panther Stadium,Melbourne,FL,USA,32901,101 Pirate Lane,4980,turf,outdoor,28.0487,-80.6202
a4a5b700-d30e-11ed-9d08-398804e84296,Parker Field at McCool Stadium,Cleveland,MS,USA,38732,McClain Ave & Shumate Ave,8125,artificial,outdoor,32.7521,-90.7381
2a99aa05-f3ef-406f-99a8-3de7340dda61,Irwin Belk Complex,Charlotte,NC,USA,28216,500 N Summit Avenue,4500,turf,outdoor,35.2419,-80.8527
cd765ea0-72f7-4870-ae2d-39b4371e556a,Garrison Stadium,Murfreesboro,NC,USA,27855,1 University Drive,2500,turf,outdoor,36.4340,-77.0985
0399bdf6-028b-4982-8cf6-ebfb24b94b21,Carnie Smith Stadium,Pittsburgh,KS,USA,66762,1705 South Joplin Street,8343,turf,outdoor,37.3910,-94.6998
bf0ee7a0-09ad-11ec-a067-9b4fd550fd6a,Sherman Field at Kearly Stadium,Houghton,MI,USA,49931,Sherman Field Press Box,3000,artificial,outdoor,47.1103,-88.5499
de93bb10-149d-11f0-b76e-97757d5c3462,Superior Dome,Marquette,MI,USA,49855,1401 Presque Isle Avenue Lot 15,8000,artificial,dome,46.5603,-87.3938
a5e32140-fe62-11ee-89ca-87e0294884b2,Bishop Schmitt Field,Wheeling,WV,USA,26003,Ignatian Way,2000,turf,outdoor,40.0730,-80.6910
9a14b030-0f54-11ed-b108-b7277d2e3dfe,Danny Hale Field at Redman Stadium,Bloomsburg,PA,USA,17815,400 East Second Street,5000,artificial,outdoor,41.0172,-76.4487
a2681054-3f7c-4faa-a00e-6b32a52fa35a,Stokes Stadium,Kirksville,MO,USA,63501,,4000,turf,outdoor,40.1834,-92.5802
c47c1828-89ab-455b-8bb3-5692ddefcf3d,Greene Stadium,Liberty,MO,USA,64068,500 College Hill,7000,artificial,outdoor,39.2470,-94.4099
58fc6e32-d3b7-411b-b6c4-507e9cf924a2,Abbott Memorial Alumni Stadium,Tuskegee,AL,USA,36088,Chambliss Street,10000,turf,outdoor,32.4249,-85.7053
0dddd43e-c9ea-47c4-80a4-10dba3e3a63d,Theodore A. Wright Stadium,Savannah,GA,USA,31404,Skidaway Road,8500,turf,outdoor,32.0275,-81.0686
9ffa332b-3435-4d20-9cd1-adf6386e986b,J.W. Babb Stadium,Greenwood,SC,USA,29649,1816 Cokesbury Road,2500,artificial,outdoor,32.2286,-82.1732
967304ce-d143-4fdb-b099-40218978a89a,Brooks Field at Wallace Wade Stadium,Durham,NC,USA,27708,110 Frank Bassett Drive,40004,turf,outdoor,35.9954,-78.9417
a338a835-dd2b-4723-a886-d761bbaf491d,Stanford Stadium,Stanford,CA,USA,94305,625 Nelson Road,50424,turf,outdoor,37.4345,-122.1611
e0947a41-9e85-488e-bcb3-6682dd56283e,L&N Federal Credit Union Stadium,Louisville,KY,USA,40209,2800 S Floyd Street,61000,artificial,outdoor,38.2064,-85.7583
acee161b-e21f-42fe-a2d7-68faeb124b17,Scott Stadium,Charlottesville,VA,USA,22903,1815 Stadium Road,61500,turf,outdoor,38.0311,-78.5137
7b816db3-a203-4b08-a060-d80e190067c9,Allegacy Federal Credit Union Stadium,Winston-Salem,NC,USA,27105,411 Deacon Boulevard,31500,artificial,outdoor,36.1305,-80.2545
3835030a-1535-431c-b64c-8da813255c06,"Alumni Stadium (Chestnut Hill, MA)",Chestnut Hill,MA,USA,02467,140 Commonwealth Avenue,44500,artificial,outdoor,42.3351,-71.1665
d99f6e35-5322-474f-a256-9ef5f7f077c8,California Memorial Stadium,Berkeley,CA,USA,94720,2227 Piedmont Avenue,62467,artificial,outdoor,37.8707,-122.2508
a4376572-76ac-40a6-9e2b-e94b7a02c208,Lane Stadium,Blacksburg,VA,USA,24060,265 Beamer Way,65632,turf,outdoor,37.2200,-80.4181
280bf6ac-33d9-4e2c-a4bd-af2612f61d00,Hard Rock Stadium,Miami Gardens,FL,USA,33056,347 Don Shula Drive,65326,turf,outdoor,25.9583,-80.2396
455833bf-98e1-4d21-806a-449b44d787e4,Gerald J. Ford Stadium,Dallas,TX,USA,75205,5800 Ownby Drive,32000,artificial,outdoor,32.8378,-96.7827
1f635882-4899-4f56-918f-9b5eec26495e,JMA Wireless Dome,Syracuse,NY,USA,13244,900 Irving Avenue,49057,artificial,dome,43.0362,-76.1363
2842c710-3f8f-49bb-a5a1-3c4fc50ce3be,Acrisure Stadium,Pittsburgh,PA,USA,15212,100 Art Rooney Avenue,68400,turf,outdoor,40.4468,-80.0158
835c36ed-b506-438b-9452-b42099f38d99,Bobby Bowden Field at Doak Campbell Stadium,Tallahassee,FL,USA,32304,403 Stadium Drive,79560,turf,outdoor,30.43811,-84.30438
50369a4d-be44-4097-8dfc-adb224c76561,Kenan Stadium,Chapel Hill,NC,USA,27514,78 Stadium Drive,50500,artificial,outdoor,35.9070,-79.0479
708fbe66-4804-4c37-bf78-66d43994208f,"Memorial Stadium (Clemson, SC)",Clemson,SC,USA,29634,1 Avenue of Champions,81500,turf,outdoor,34.6791,-82.8433
